BASE	ESQUEMA	TABLA	FILAS	LINEAS	ESTADO
dwh	dwh	fct_anulacion_baja_2006_10	554	555	OK
dwh	dwh	fct_anulacion_baja_2006_11	436	437	OK
dwh	dwh	fct_anulacion_baja_2006_12	238	239	OK
dwh	dwh	fct_anulacion_baja_2007_01	272	273	OK
dwh	dwh	fct_anulacion_baja_2007_02	192	193	OK
dwh	dwh	fct_anulacion_baja_2007_03	45	46	OK
dwh	dwh	fct_anulacion_baja_2007_04	49	50	OK
dwh	dwh	fct_anulacion_baja_2007_05	159	160	OK
dwh	dwh	fct_anulacion_baja_2007_06	172	173	OK
dwh	dwh	fct_anulacion_baja_2007_07	188	189	OK
dwh	dwh	fct_anulacion_baja_2007_08	159	160	OK
dwh	dwh	fct_anulacion_baja_2007_09	218	219	OK
dwh	dwh	fct_anulacion_baja_2007_10	164	165	OK
dwh	dwh	fct_anulacion_baja_2007_11	133	134	OK
dwh	dwh	fct_anulacion_baja_2007_12	134	135	OK
dwh	dwh	fct_anulacion_baja_2008_01	218	219	OK
dwh	dwh	fct_anulacion_baja_2008_02	275	276	OK
dwh	dwh	fct_anulacion_baja_2008_03	95	96	OK
dwh	dwh	fct_anulacion_baja_2008_04	111	112	OK
dwh	dwh	fct_anulacion_baja_2008_05	103	104	OK
dwh	dwh	fct_anulacion_baja_2008_06	227	228	OK
dwh	dwh	fct_anulacion_baja_2008_07	862	863	OK
dwh	dwh	fct_anulacion_baja_2008_08	105	106	OK
dwh	dwh	fct_anulacion_baja_2008_09	71	72	OK
dwh	dwh	fct_anulacion_baja_2008_10	40	41	OK
dwh	dwh	fct_anulacion_baja_2008_11	53	54	OK
dwh	dwh	fct_anulacion_baja_2008_12	17	18	OK
dwh	dwh	fct_anulacion_baja_2009_01	34	35	OK
dwh	dwh	fct_anulacion_baja_2009_02	296	297	OK
dwh	dwh	fct_anulacion_baja_2009_03	7	8	OK
dwh	dwh	fct_anulacion_baja_2009_04	1	2	OK
dwh	dwh	fct_anulacion_baja_2009_05	1	2	OK
dwh	dwh	fct_anulacion_baja_2009_06	1	2	OK
dwh	dwh	fct_anulacion_baja_2009_07	0	1	OK
dwh	dwh	fct_anulacion_baja_2009_08	1	2	OK
dwh	dwh	fct_anulacion_baja_2009_09	0	1	OK
dwh	dwh	fct_anulacion_baja_2009_10	0	1	OK
dwh	dwh	fct_anulacion_baja_2009_11	0	1	OK
dwh	dwh	fct_anulacion_baja_2009_12	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_01	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_02	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_03	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_04	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_05	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_06	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_07	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_08	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_09	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_10	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_11	0	1	OK
dwh	dwh	fct_anulacion_baja_2010_12	0	1	OK
dwh	dwh	fct_anulacion_baja_2011_01	0	1	OK
dwh	dwh	fct_anulacion_baja_2011_02	0	1	OK
dwh	dwh	fct_anulacion_baja_2011_03	5	6	OK
dwh	dwh	fct_anulacion_baja_2011_04	0	1	OK
dwh	dwh	fct_anulacion_baja_2011_05	0	1	OK
dwh	dwh	fct_anulacion_baja_2011_06	0	1	OK
dwh	dwh	fct_anulacion_baja_2011_07	0	1	OK
dwh	dwh	fct_anulacion_baja_2011_08	0	1	OK
dwh	dwh	fct_anulacion_baja_2011_09	0	1	OK
dwh	dwh	fct_anulacion_baja_2011_10	0	1	OK
dwh	dwh	fct_anulacion_baja_2012_10	32	33	OK
dwh	dwh	fct_anulacion_baja_2012_11	26	27	OK
dwh	dwh	fct_anulacion_baja_2012_12	43	44	OK
